Gene 	Aliases 	Location 	Status 	Expressed Allele
H19 	ASM, BWS, ASM1, MGC4485, PRO2605, D11S813E  	11p15.5 AS  	Imprinted 	Maternal
TSPAN32 	ART1, PHMX, PHEMX, TSSC6, FLJ17158, FLJ97586, MGC22455  	11p15.5  	Not Imprinted 	Biallelic
TSSC4 	  	11p15.5  	Not Imprinted 	Biallelic
SLC22A18 	HET, ITM, BWR1A, IMPT1, TSSC5, ORCTL2, BWSCR1A, SLC22A1L, p45-BWR1A, DKFZp667A184  	11p15.5  	Imprinted 	Maternal
NAP1L4 	NAP2, NAP2L, hNAP2, MGC4565, NAP1L4b  	11p15.5 AS  	Unknown 	Unknown
INS 	ILPR, IRDN  	11p15.5 AS  	Imprinted 	Paternal
TH 	TYH, DYT14, DYT5b  	11p15.5 AS  	Unknown 	Unknown
B4GALNT4 	FLJ25045  	11p15.5  	Predicted 	Maternal
CD81 	S5.7, TAPA1, TSPAN28  	11p15.5  	Not Imprinted 	Biallelic
RAB1B 	  	11q12  	Predicted 	Maternal
ANO1 	DOG1, TAOS2, ORAOV2, TMEM16A  	11q13.3  	Imprinted 	Maternal
DHCR7 	SLOS  	11q13.4 AS  	Not Imprinted 	Biallelic
KBTBD3 	BKLHD3, FLJ30685  	11q22.3 AS  	Predicted 	Paternal
ZC3H12C 	MCPIP3  	11q22.3  	Imprinted 	Paternal
SDHD 	PGL, CBT1, PGL1, SDH4  	11q23  	Conflicting Data 	Paternal
NTM 	HNT, NTRI, IGLON2  	11q25  	Imprinted 	Maternal
ABCC9 	SUR2, ABC37, CMD1O, FLJ36852  	12p12.1 AS  	Predicted 	Maternal
RBP5 	CRBP3, CRBPIII, CRBP-III  	12p13.31 AS  	Imprinted 	Maternal
SLC38A4 	ATA3, NAT3, PAAT, FLJ10191, MGC126876  	12q13 AS  	Unknown 	Unknown
SLC26A10 	  	12q13  	Predicted 	Maternal
HOXC9 	HOX3, HOX3B  	12q13.3  	Predicted 	Maternal
HOXC4 	HOX3, cp19, HOX3E  	12q13.3  	Predicted 	Maternal
CDK4 	CMM3, PSK-J3, MGC14458  	12q14 AS  	Predicted 	Maternal
E2F7 	FLJ12981  	12q21.2 AS  	Predicted 	Maternal
DCN 	CSCD, PG40, PGII, PGS2, DSPG2, SLRR1B  	12q21.33 AS  	Unknown 	Unknown
KIAA1545 	KIAA1545  	12q24.33  	Predicted 	Maternal
FBRSL1 	KIAA1545  	12q24.33  	Predicted 	Maternal
HTR2A 	HTR2, 5-HT2A  	13q14-q21 AS  	Conflicting Data 	Maternal
RB1 	RB, pRb, OSRC, pp110, p105-Rb  	13q14.2  	Imprinted 	Maternal
FLJ40296 	FLJ40296, MGC149404, MGC149405  	13q21.1  	Predicted 	Maternal
FAM70B 	MGC20579, RP11-199F6.1  	13q34  	Predicted 	Maternal
FOXG1 	BF1, BF2, QIN, FKH2, HBF2, HFK1, HFK2, HFK3, KHL2, FHKL3, FKHL1, FKHL2, FKHL3, FKHL4, HBF-1, HBF-2, HBF-3, FOXG1A, FOXG1B, FOXG1C, HBF-G2  	14q13  	Predicted 	Paternal
FERMT2 	MIG2, KIND2, mig-2, UNC112, PLEKHC1, UNC112B, FLJ34213, FLJ44462, DKFZp686G11125  	14q22.1 AS  	Predicted 	Paternal
DLK1 	DLK, FA1, ZOG, pG2, PREF1, Pref-1  	14q32  	Imprinted 	Paternal
DIO3 	D3, 5DIII, TXDI3, DIOIII  	14q32  	Unknown 	Unknown
MEG3 	GTL2, FP504, prebp1, PRO0518, PRO2160, FLJ31163, FLJ42589  	14q32  	Imprinted 	Maternal
RTL1 	MART1, PEG11, LOC388015  	14q32.31 AS  	Imprinted 	Paternal
MEG8 	Rian  	14q32.31  	Imprinted 	Maternal
MAGEL2 	nM15, NDNL1  	15q11-q12 AS  	Imprinted 	Paternal
NPAP1 	C15orf2  	15q11-q13  	Imprinted 	Unknown
UBE3A 	AS, ANCR, E6-AP, HPVE6A, EPVE6AP, FLJ26981  	15q11-q13 AS  	Imprinted 	Maternal
ZNF127AS 	MKRN3AS, Znp127as  	15q11-q13  	Unknown 	Unknown
MKRN3 	D15S9, RNF63, ZFP127, ZNF127, MGC88288  	15q11-q13  	Imprinted 	Paternal
PWCR1 	PET1, non-coding RNA in the Prader-Willi critical region  	15q11.2  	Imprinted 	Paternal
SNORD108 	HBII-437, HBII-437 C/D box snoRNA  	15q11.2  	Imprinted 	Paternal
SNORD107 	HBII-436, HBII-436 C/D box snoRNA  	15q11.2  	Imprinted 	Paternal
SNORD116@ 	PET1, PWCR1, HBII-85  	15q11.2  	Imprinted 	Paternal
SNRPN 	SMN, PWCR, SM-D, RT-LI, HCERN3, SNRNP-N, FLJ33569, FLJ36996, FLJ39265, MGC29886, SNURF-SNRPN, DKFZp762N022, DKFZp686C0927, DKFZp761I1912, DKFZp686M12165  	15q11.2  	Imprinted 	Paternal
ATP10A 	ATPVA, ATPVC, ATP10C, KIAA0566  	15q11.2 AS  	Imprinted 	Maternal
SNORD115@ 	HBII-52  	15q11.2  	Imprinted 	Paternal
SNORD115-48 	HBII-52-48  	15q11.2  	Imprinted 	Paternal
SNORD109B 	HBII-438B, HBII-438B C/D box snoRNA  	15q11.2  	Imprinted 	Paternal
SNORD109A 	HBII-438A  	15q11.2  	Imprinted 	Paternal
GABRA5 	MGC138184  	15q11.2-q12  	Conflicting Data 	Paternal
NDN 	HsT16328  	15q11.2-q12 AS  	Imprinted 	Paternal
GABRB3 	MGC9051  	15q11.2-q12 AS  	Conflicting Data 	Paternal
SNURF 	  	15q12  	Imprinted 	Paternal
SNORD64 	HBII-13, HBII-13 snoRNA  	15q12  	Imprinted 	Paternal
GABRG3 	  	15q12  	Conflicting Data 	Paternal
GATM 	AT, AGAT  	15q21.1 AS  	Unknown 	Unknown
RASGRF1 	GNRP, GRF1, CDC25, GRF55, CDC25L, H-GRF55, PP13187  	15q24.2 AS  	Unknown 	Unknown
MIR184 	EDICT, MIRN184, miR-184  	15q25.1  	Unknown 	Unknown
ZNF597 	  	16p13.3 AS  	Imprinted 	Maternal
NAA60 	HAT4, NAT15  	16p13.3  	Imprinted 	Maternal
SOX8 	MGC24837  	16p13.3  	Predicted 	Paternal
SALL1 	TBS, HSAL1, ZNF794  	16q12.1 AS  	Predicted 	Maternal
C16orf57 	HVSL1, FLJ13154  	16q21  	Predicted 	Maternal
ACD 	PIP1, PTOP, TPP1, TINT1  	16q22.1 AS  	Predicted 	Maternal
FOXF1 	FKHL5, ACDMPV, FREAC1, MGC105125  	16q24  	Predicted 	Maternal
TMEM88 	FLJ20025, MGC71744  	17p13.1  	Predicted 	Maternal
PYY2 	  	17q11  	Predicted 	Paternal
HOXB2 	K8, HOX2, HOX2H, Hox-2.8  	17q21-q22 AS  	Predicted 	Maternal
HOXB3 	HOX2, HOX2G, Hox-2.7  	17q21.3 AS  	Predicted 	Maternal
LOC100131170 	LOC100131170  	17q25.3 AS  	Predicted 	Paternal
IMPACT 	MGC33718  	18q11.2-q12.1  	Not Imprinted 	Biallelic
BRUNOL4 	CELF4, BRUNOL-4  	18q12 AS  	Predicted 	Maternal
FAM59A 	GAREM, Gm944, C18orf11  	18q12.1 AS  	Predicted 	Paternal
TCEB3C 	HsT829, TCEB3L2, Elongin A3  	18q21.1 AS  	Imprinted 	Maternal
PPAP2C 	LPP2, PAP-2c, PAP2-g  	19p13 AS  	Predicted 	Maternal
DNMT1 	AIM, DNMT, MCMT, CXXC9, HSN1E, ADCADN  	19p13.2 AS  	Imprinted 	Paternal
CHMP2A 	BC2, BC-2, VPS2, CHMP2, VPS2A  	19q AS  	Predicted 	Maternal
TSHZ3 	TSH3, ZNF537, FLJ54422, KIAA1474  	19q12 AS  	Predicted 	Paternal
CHST8 	GalNAc4ST, GALNAC4ST1  	19q13.1  	Predicted 	Maternal
ZNF225 	MGC119735  	19q13.2  	Predicted 	Paternal
MZF1 	MZF-1, MZF1B, ZNF42, Zfp98, ZSCAN6  	19q13.4 AS  	Predicted 	Maternal
ZIM2 	ZNF656  	19q13.4 AS  	Imprinted 	Paternal
MIMT1 	MIM1, LINC00067, NCRNA00067  	19q13.4  	Imprinted 	Paternal
ZNF264 	Zfp264  	19q13.4  	Unknown 	Unknown
LILRB4 	HM18, ILT3, LIR5, CD85K, LIR-5, LILRB5  	19q13.4  	Predicted 	Maternal
PEG3 	PW1, ZNF904, ZSCAN24  	19q13.4 AS  	Imprinted 	Paternal
ZNF229 	FLJ34222  	19q13.31 AS  	Predicted 	Maternal
MIR371A 	C19MC, MIR371, MIRN371, hsa-mir-371, hsa-mir-371a  	19q13.42  	Imprinted 	Paternal
NLRP2 	NBS1, PAN1, NALP2, PYPAF2, CLR19.9  	19q13.42  	Imprinted 	Maternal
USP29 	MGC163266, MGC163270, HOM-TES-84/86  	19q13.43  	Unknown 	Unknown
ZIM3 	ZNF657  	19q13.43 AS  	Unknown 	Unknown
ISM1 	ISM, Isthmin, C20orf82, bA149I18.1, dJ1077I2.1  	20p12.1  	Predicted 	Paternal
C20orf82 	bA149I18.1, dJ1077I2.1  	20p12.1  	Predicted 	Paternal
PSIMCT-1 	  	20q11.2  	Imprinted 	Paternal
BLCAP 	BC10  	20q11.2-q12 AS  	Imprinted 	Isoform Dependent
NNAT 	Peg5  	20q11.2-q12  	Imprinted 	Paternal
HM13 	H13, SPP, IMP1, PSL3, IMPAS, SPPL1, PSENL3, IMPAS-1, MSTP086, dJ324O17.1  	20q11.21  	Unknown 	Unknown
MCTS2 	  	20q11.21  	Imprinted 	Paternal
GDAP1L1 	dJ881L22.1, dJ995J12.1.1  	20q12  	Imprinted 	Paternal
SGK2 	H-SGK2, dJ138B7.2  	20q13.2  	Imprinted 	Paternal
GNAS 	AHO, GSA, GSP, POH, GPSA, NESP, GNAS1, PHP1A, PHP1B, C20orf45, MGC33735, dJ309F20.1.1, dJ806M20.3.3  	20q13.3  	Imprinted 	Isoform Dependent
COL9A3 	IDD, MED, EDM3, FLJ90759, DJ885L7.4.1  	20q13.3  	Predicted 	Maternal
L3MBTL 	L3MBTL1, FLJ41181, KIAA0681, H-L(3)MBT, dJ138B7.3, DKFZp586P1522  	20q13.12  	Imprinted 	Paternal
MIR296 	MIRN296, miRNA296  	20q13.32 AS  	Imprinted 	Paternal
MIR298 	MIRN298, hsa-mir-298  	20q13.32 AS  	Imprinted 	Paternal
SANG 	SANG, Nespas  	20q13.32  	Imprinted 	Paternal
GNASAS 	SANG, NESPAS, GNAS1AS, NCRNA00075  	20q13.32 AS  	Imprinted 	Paternal
C20orf20 	Eaf7, MRGBP, URCC4, MRG15BP, FLJ10914  	20q13.33  	Predicted 	Maternal
SIM2 	SIM, bHLHe15, MGC119447  	21q22.2  	Predicted 	Paternal
DGCR6 	  	22q11.21  	Imprinted 	Random
DGCR6L 	  	22q11.21 AS  	Imprinted 	Random
FLJ20464 	FLJ20464  	22q12.2  	Predicted 	Paternal
TSIX 	XISTAS, NCRNA00013  	Xq13.2  	Not Imprinted 	Biallelic
XIST 	XCE, XIC, SXI1, swd66, DXS1089, DXS399E, NCRNA00001, DKFZp779P0129  	Xq13.2 AS  	Not Imprinted 	Biallelic

